author,recipient,weight
"Morse, Philip M.",unknown,167
"Morse, Philip M.","Porter, Jack D.",2
"Morse, Philip M.","Verzuh, Frank M.",18
"Morse, Philip M.","Corbato, F. J.",12
"Morse, Philip M.","Morse, Philip M.",2
Unknown,unknown,131
Unknown,Unknown,1
Unknown,"Morse, Philip M.",6
Unknown,"Verzuh, Frank M.",2
Unknown,"Corbato, F. J.",2
Unknown,"Blackburn, J. F.",1
"Corbato, F. J.","Morse, Philip M.",18
"Corbato, F. J.","Verzuh, Frank M.",6
"Corbato, F. J.",unknown,1
None,None,8
None,unknown,2
None,"Corbato, F. J.",1
None,"Morse, Philip M.",1
unknown,unknown,94
unknown,"Morse, Philip M.",1
"Verzuh, Frank M.","Morse, Philip M.",175
"Verzuh, Frank M.",unknown,86
"Verzuh, Frank M.","Verzuh, Frank M.",1
"Verzuh, Frank M.",None,2
"Verzuh, Frank M.","Blackburn, J. F.",7
"Verzuh, Frank M.","Bullock, M. L.",5
"Verzuh, Frank M.","Corbato, F. J.",1
"Porter, Jack D.","Morse, Philip M.",10
"Porter, Jack D.",unknown,2
"Porter, Jack D.","Verzuh, Frank M.",1
"Porter, Jack D.","Porter, Jack D.",1
Office of Statistical Services,"Verzuh, Frank M.",1
Office of Statistical Services,unknown,44
Office of Statistical Services,"Morse, Philip M.",35
"Bullock, M. L.","Morse, Philip M.",35
"Bullock, M. L.","Verzuh, Frank M.",7
"Bullock, M. L.","Corbato, F. J.",10
"Bullock, M. L.",unknown,2
"Bullock, M. L.","Bullock, M. L.",1
"Bullock, M. L.","Blackburn, J. F.",1
"Blackburn, J. F.","Morse, Philip M.",10
"Blackburn, J. F.","Corbato, F. J.",9
"Blackburn, J. F.",unknown,5
"Blackburn, J. F.","Verzuh, Frank M.",1
