box,folder_number,foldername_short,foldername_full,doc_id,filename,author,title,date,first_page,last_page,metadata_added_by,doc_type,recipients,cced,notes,metadata_specialist_notes
3,32,verzuh,"Verzuh, Dr. Frank M.",1,3_32_verzuh_1,"Corbato, F. J.",Requisition for materials for Audio Monitor of 704 Computer,1957-11-21,2,2,stephan,letter,"Verzuh, F. M.",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",2,3_32_verzuh_2,"Verzuh, F. M.",Letter to P. M. Morse,1953-05-04,3,3,stephan,letter,"Morse, Philip M.",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",3,3_32_verzuh_3,"Verzuh, F. M.",Contract AF33(616)-128 Expenditure Order No. R-468 BR-1,1953-05-04,4,4,stephan,letter,"Henry, H. C. (Lt. Col.)",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",4,3_32_verzuh_4,"Verzuh, F. M.",Letter to P. M. Morse,1953-05-08,5,5,stephan,letter,"Morse, Philip M.",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",5,3_32_verzuh_5,"Tamm, Edna H.",Letter to P. M. Morse,1953-04-07,6,6,stephan,letter,"Morse, Philip M.",None,author Tamm or Verzuh?,
3,32,verzuh,"Verzuh, Dr. Frank M.",6,3_32_verzuh_6,"Brown, Gordon S.",Letter to E. J. Dieterich,1953-01-30,7,7,stephan,letter,"Dieterich, E. J.",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",7,3_32_verzuh_7,"Verzuh, F. M.",Contract AF33(616)-128 Expenditure Order No. R-468 BR-1,1952-11-25,8,10,stephan,letter,"Henry, H. C. (Lt. Col.)",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",8,3_32_verzuh_8,"Verzuh, F. M.",Letter to E. L. Harder,1952-11-21,11,12,stephan,letter,"Harder, E. L.",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",9,3_32_verzuh_9,"Verzuh, F. M.",Proposed Undergraduate Subject on Computation,1952-11-21,13,14,stephan,letter,"Scott, R. E.",None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",10,3_32_verzuh_10,"Verzuh, F. M.",Memorandum on the M.I.T. Differential Analyzer,1954-11-10,15,33,stephan,report,None,None,None,
3,32,verzuh,"Verzuh, Dr. Frank M.",11,3_32_verzuh_11,"Verzuh, F. M.",Letter to G. S. Brown,1955-08-09,34,35,stephan,letter,"Brown, G. S.",None,None,
