Page 2
Grad, Arthur; N.S. F.
Grandage, Arnold; North Carolina State College
Graves, R. L.; University of Chicago
Hamblen, John W. ; University of Kentucky
Herget, Paul; University of Cincinnati
Herriot, John G. ; Stanford University
Hoffman, Walter; Wayne State University
Hollingsworth, Jack; Rensselaer Polytechnic Institute.
Howard, B. E.; University of Chicago
Hutchinson, Charles A. ; University of Colorado
J ackson, Robert F.; University of Delaware
Johnson, Adrain E.Jr.; Louisiana State University
Johnson, David L. ; Louisiana Polytechnic Institute
Keenan, Thomas A. ; University of Rochester
Keeney, M. G.; Michigan State
Kehl, William B. ; University of Pittsburgh
Kenyon, Richard R.; Purdue
King, Kenneth M. ; Watson Laboratory, Columbia University
Kopley, Edwin S. ; IBM
Kurtz, Thomas E. ; Dartmouth College
Laird, Donald T.; Pennsylvania State University
Lawrence, John ; IBM
Lehmer, D. H.; University of California
Lesser, R.; Cornell University
Metropolis, N.; University of Chicago
Meyer, Herbert A. ; University of Florida
Mikulich, R. C.; University of Chicago
Minton, Paul D. ; Southern Methodist University
Morse, P. M. ; MIT
Motard, R. L.; University of Houston
Mulder, Jack; Royal McBee Corp.
Murphree, E. L.; University of Mississippi
Nelson, R. J.; Case Institute
