Orden, Alex; University of Chicago

Parker, Thomas; Kansas State University

Perlis, A. J.; Carnegie Institute of Technology
Prager, W.; Brown University

Pulley, Gene; University of Kansas

Pyle, L. Duane; Purdue University

Rechard, Ottis W.; Washington State University
Reeves, Ray F.; Ohio State University

Remmenga, Elmer; Colorado State University
Resnikoff, George J.; Illinois Institute of Technology
-‘l’leinboldt, Werner C. ; Syracuse University

Ritchie, Floyd J.; Royal McBee Corp.

Rolf, Howard; Vanderbilt University

Rymer, H. R.; Northwestern University

Salsburg, Z. W.; RICE Institute

Schweppe, Earl J.; Iowa State University

Scroggs, James E. ; University of Arkansas

Seidel, J. J.; Techn. University Eindhoven (Holland)
Selfridge, R. G.; Miami University

Shreve, Darrell R. ; Oklahoma State University
”S"’»hriver, A. R. ; Univac Division, Sperry Rand Corp.
Shull, Harrison; Indiana University

Smith, Robert L. Jr.; Texas A & M College

Smith, William A. Jr.; Lehigh University

Snyder, J. N. ; University of Illinois

Stakgold, Ivar; Northwestern University, also Q. N. R.
Stein, Marvin L. ; University of Minnesota
Stephenson, Robert E. ; University of Utah
Townsend, Bill B. ; Louisiana State University
Viavant, William; University of Oklahoma
Vogelaere, Rene De; University of California at Berkeley

Wagner, Bud; Royal McBee Corp.
