box,folder_number,foldername_short,foldername_full,doc_id,filename,author,title,date,first_page,last_page,metadata_added_by,doc_type,recipients,cced,notes,metadata_specialist_notes,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,1,1_1_committee_on_machine_methods_1,"Morse, Philip M.","Minutes of Meeting on Machine Methods of Computation, November 22, 1950",1950-11-22,1,1,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,2,1_1_committee_on_machine_methods_2,"Morse, Philip M.","Minutes of Meeting on Machine Methods of Computation, November 29, 1950",1950-11-29,2,3,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,3,1_1_committee_on_machine_methods_3,Unknown,Minutes of the Third Meeting of the Committee on Machine Methods of Computation,1950-12-06,4,5,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,4,1_1_committee_on_machine_methods_4,"Morse, Philip M.",Minutes of the Fourth Meeting of the Committee on Machine Methods of Computation,1950-12-13,6,7,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,5,1_1_committee_on_machine_methods_5,"Morse, Philip M.",Minutes of the Fifth Meeting of the Committee on Machine Methods of Computation,1950-12-20,8,9,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,6,1_1_committee_on_machine_methods_6,"Feshbach, Herman",Minutes of the Sixth Meeting of the Committee on Machine Methods of Computation,1951-01-03,10,11,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,7,1_1_committee_on_machine_methods_7,"Morse, Philip M.",Minutes of the Seventh Meeting of the Committee on Machine Methods of Computation,1951-01-10,12,13,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,8,1_1_committee_on_machine_methods_8,"Morse, Philip M.",Minutes of the Eighth Meeting of the Committee on Machine Methods of Computation,1951-01-17,14,16,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,9,1_1_committee_on_machine_methods_9,"Morse, Philip M.",Minutes of the Ninth Meeting of the Committee on Machine Methods of Computation,1951-02-07,17,19,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,10,1_1_committee_on_machine_methods_10,"Morse, Philip M.",Minutes of the Tenth Meeting of the Committee on Machine Methods of Computation,1951-02-14,20,20,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,11,1_1_committee_on_machine_methods_11,"Morse, Philip M.",Minutes of the Eleventh Meeting of the Committee on Machine Methods of Computation,1951-02-21,21,21,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,12,1_1_committee_on_machine_methods_12,"Morse, Philip M.",Minutes of the Twelfth Meeting of the Committee on Machine Methods of Computation,1951-03-07,22,23,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,13,1_1_committee_on_machine_methods_13,"Morse, Philip M.",Minutes of the Thirteenth Meeting of the Committee on Machine Methods of Computation,1951-03-14,24,24,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,14,1_1_committee_on_machine_methods_14,"Morse, Philip M.",Minutes of the Fourteenth Meeting of the Committee on Machine Methods of Computation,1951-03-21,25,26,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,15,1_1_committee_on_machine_methods_15,"Morse, Philip M.",Minutes of the Fifteenth Meeting of the Committee on Machine Methods of Computation,1951-04-11,27,27,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,16,1_1_committee_on_machine_methods_16,"Morse, Philip M.",Minutes of the Sixteenth Meeting of the Committee on Machine Methods of Computation,1951-04-18,28,28,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,17,1_1_committee_on_machine_methods_17,"Morse, Philip M.",Minutes of the Seventeenth Meeting of the Committee on Machine Methods of Computation,1951-05-16,29,29,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,18,1_1_committee_on_machine_methods_18,"Morse, Philip M.",Minutes of the Eighteenth Meeting of the Committee on Machine Methods of Computation,1951-06-07,30,30,mingfei,minutes,unknown,unknown,"This document states there will be another meeting held on June 20th, 1951, but there are no minutes for that meeting",,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,19,1_1_committee_on_machine_methods_19,"Morse, Philip M.",Committee on Machine Methods of Computation; Minutes of the First Meeting; Academic Year '51-'52,1951-10-03,31,31,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,20,1_1_committee_on_machine_methods_20,"Morse, Philip M.",Committee on Machine Methods of Computation; Minutes of the Second Meeting; Academic Year '51-'52,1951-10-10,32,32,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,21,1_1_committee_on_machine_methods_21,"Morse, Philip M.",Committee on Machine Methods of Computation; Minutes of the Third Meeting; Academic Year '51-'52,1951-11-14,33,33,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,22,1_1_committee_on_machine_methods_22,"Morse, Philip M.",Committee on Machine Methods of Computation; Minutes of the Fourth Meeting; Academic Year '51-'52,1951-12-05,34,35,mingfei,minutes,unknown,unknown,,,,,
1,1,committee_on_machine_methods,Committee on Machine Methods of Computation minutes. 1950-1957,23,1_1_committee_on_machine_methods_23,"Morse, Philip M.",Committee on Machine Methods of Computation; Minutes of the Fifth Meeting; Academic Year '51-'52,1952-01-09,36,37,mingfei,minutes,unknown,unknown,,,,,
