box,folder_number,foldername_short,foldername_full,doc_id,filename,author,title,date,first_page,last_page,metadata_added_by,doc_type,recipients,cced,notes,metadata_specialist_notes
1,3,statistical_service_center,Statistical Services Center. 1952-1955,7,1_3_statistical_service_center_7,"Verzuh, F. M.",Revised Rate Structure for the Office of Statistical Services for the Fiscal Period 1952-1953,1952-10-27,22,31,stephan,report,unknown,unknown,alternative date: 1952-11-03,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",29,1_2_project_proposal_contract_29,unknown,Continuation of Contract N5ori06001 Handwritten Rough Draft,,59,60,mingfei,memo draft,unknown,unknown,"appears to be a handwritten draft of ""Continuation of Contract N5ori06001""","//Mingfei: Likely that authors are still Morse and Porter, but it isn't explicitly said. Should it be left unknown or guessed?"
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",42,1_2_project_proposal_contract_42,unknown,Committee on Mechanical Aids to Computation,,76,77,kate,Unknown,unknown,unknown,Appears to be duplicate of doc 41,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",43,1_2_project_proposal_contract_43,unknown,Committee on Mechanical Aids to Computation,,78,79,kate,Unknown,unknown,unknown,Appears to be duplicate of doc 41,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,6,1_3_statistical_service_center_6,"Verzuh, F. M.",Letter to Philip Morse,1952-11-04,21,21,stephan,memo,"Morse, Philip M.",unknown,attachment: 1_3_statistical_service_center_6,
1,10,architecture,Computation Center: architecture & space,17,1_10_architecture_17,"Harber, S.",Minutes for meeting between K.T. Compton Labs and MIT,1956-03-29,23,24,elena,minutes,"Cans, F. C.","Harber, S.",Author cced himself; folder 1_10 finished,
3,32,verzuh,"Verzuh, Dr. Frank M.",5,3_32_verzuh_5,"Tamm, Edna H.",Letter to P. M. Morse,1953-04-07,6,6,stephan,letter,"Morse, Philip M.",unknown,author Tamm or Verzuh?,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",44,1_2_project_proposal_contract_44,unknown,Committee on Mechanical Aids to Computation,,80,81,kate,Unknown,unknown,unknown,Contains numerous edits and seems to be rough draft for doc 41,
1,8,rockefeller,Rockefeller Foundation,28,1_8_rockefeller_28,unknown,Application for a Grant for the Support of Machine Programming Staff for the Utilization of Electronic Computers in Social Science,,31,46,elena,application,unknown,unknown,Contains three appendicies,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",10,1_2_project_proposal_contract_10,"Beckley, L. E.",Revised Proposal for Extension to Contract N5ori-06001,1956-01-23,24,27,myke,proposal,Director ONR/Boston,"ONR/MIT; ONR/Washington; Giroux, F. A.; Floe, C. F.; Morse, Philip M.; Verzuh, F. M.",Contract Number N5ori-06001,
